ID_CLIENTE;FANTASIA;CODTAB;ID_VENDEDOR;VENDEDOR;CIDADE;GRUPODESC
4;INDUSTRIAS SM - CEARA;23;0;<SEM VENDEDOR>;MARACANAU;
101;NORDESTAO ALECRIM LJ 1;3;18;ANDRE.RN;Natal;NORDESTAO
102;NORDESTAO PETROPOLIS LJ 2;3;18;ANDRE.RN;Natal;NORDESTAO
103;NORDESTAO LAGOA NOVA LJ 3;3;18;ANDRE.RN;Natal;NORDESTAO
104;NORDESTAO CIDADE JARDIM LJ 4;3;57;PAULINO.RN;Natal;NORDESTAO
105;NORDESTAO SANTA CATARINA LJ 5;3;18;ANDRE.RN;Natal;NORDESTAO
106;NORDESTAO IGAPO LJ 6;3;18;ANDRE.RN;Natal;NORDESTAO
107;NORDESTAO TIROL LJ 7;3;18;ANDRE.RN;Natal;NORDESTAO
108;NORDESTAO NOVA PARNAMIRIM LJ 8;3;57;PAULINO.RN;Parnamirim;NORDESTAO
109;NORDESTAO PONTA NEGRA LJ 9;3;57;PAULINO.RN;Natal;NORDESTAO
110;SUPERFACIL EMAUS;1;57;PAULINO.RN;Parnamirim;SUPERFACIL
111;SUPERFACIL RODOVIARIA;1;57;PAULINO.RN;Natal;SUPERFACIL
112;SUPERFACIL ATACADO JOAO PESSOA;1;2;MIGUEL.PB;Joao Pessoa;SUPERFACIL
114;SUPERFACIL MOEMA TINOCO PAJUCARA;1;18;ANDRE.RN;Natal;SUPERFACIL
115;NORDESTAO CENTRAL CARNES;1;57;PAULINO.RN;Parnamirim;NORDESTAO CD
116;ASSAI FEIRA DE SANTANA BA LJ 67;19;42;SANDRO.BA/SE;Feira de Santana;ASSAI BA
117;ASSAI VITORIA DA CONQUISTA BA LJ 87;19;42;SANDRO.BA/SE;VITORIA DA CONQUISTA;ASSAI BA
118;ASSAI SENHOR DO BONFIM BA LJ184;19;42;SANDRO.BA/SE;SENHOR DO BONFIM;ASSAI BA
119;ASSAI ARACAJU SUL LJ183;19;42;SANDRO.BA/SE;ARACAJU;ASSAI BA
120;ASSAI MUSSURUNGA BA LJ 177;19;42;SANDRO.BA/SE;SALVADOR;ASSAI BA
121;ASSAI GUANAMBI BA LJ 159;19;42;SANDRO.BA/SE;GUANAMBI;ASSAI BA
122;ASSAI ITABAIANA SE LJ 147;19;42;SANDRO.BA/SE;ITABAIANA;ASSAI BA
123;ASSAI LAURO DE FREITAS BA LJ 143;19;42;SANDRO.BA/SE;LAURO DE FREITAS;ASSAI BA
124;ASSAI CAMACARI BA LJ 139;19;42;SANDRO.BA/SE;CAMACARI;ASSAI BA
125;ASSAI ILHEUS BA LJ 125;19;42;SANDRO.BA/SE;ILHEUS;ASSAI BA
126;ASSAI ARACAJU LJ 116;19;42;SANDRO.BA/SE;ARACAJU;ASSAI BA
127;ASSAI PAULO AFONSO BA LJ 106;19;42;SANDRO.BA/SE;PAULO AFONSO;ASSAI BA
128;ASSAI JEQUIE BA LJ 095;19;42;SANDRO.BA/SE;JEQUIE;ASSAI BA
129;ASSAI PARIPE BA LJ 90;19;42;SANDRO.BA/SE;SALVADOR;ASSAI BA
130;ASSAI CIDADE BAIXA BA LJ 78;19;42;SANDRO.BA/SE;SALVADOR;ASSAI BA
131;ASSAI JUAZEIRO BA LJ 66;19;42;SANDRO.BA/SE;JUAZEIRO;ASSAI BA
132;ASSAI ITAPETINGA BA LJ 196;19;42;SANDRO.BA/SE;ITAPETINGA;ASSAI BA
133;ASSAI SERRINHA BA LJ 185;19;42;SANDRO.BA/SE;SERRINHA;ASSAI BA
134;ASSAI GOLF CLUBE BA LJ 164;19;42;SANDRO.BA/SE;SALVADOR;ASSAI BA
135;ASSAI PETROLINA PE LJ 250;19;42;SANDRO.BA/SE;PETROLINA;ASSAI BA
136;ASSAI F. SANTANA TOMBA BA LJ 225;19;42;SANDRO.BA/SE;Feira de Santana;ASSAI BA
137;ASSAI BARREIRAS BA LJ 242;19;42;SANDRO.BA/SE;BARREIRAS;ASSAI BA
138;ASSAI N. SENH. SOCORRO SE LJ 251;19;42;SANDRO.BA/SE;NSA SRA SOCORRO;ASSAI BA
139;ASSAI BARRIS BA LJ 243;19;42;SANDRO.BA/SE;SALVADOR;ASSAI BA
140;ASSAI TEIXEIRA DE FREITAS BA LJ 297;19;42;SANDRO.BA/SE;TEIXEIRA DE FREITAS;ASSAI BA
141;ASSAI CABULA BA LJ 255;19;42;SANDRO.BA/SE;SALVADOR;ASSAI BA
142;ASSAI VASCO DA GAMA BA LJ 256;19;42;SANDRO.BA/SE;SALVADOR;ASSAI BA
143;ASSAI ARACAJU A.FRANCO  LJ 288;19;42;SANDRO.BA/SE;ARACAJU;ASSAI BA
144;ASSAI ROTULA DO ABACAXI BA LJ 321;19;42;SANDRO.BA/SE;SALVADOR;ASSAI BA
145;ASSAI JUAZEIRO DO NORTE 62;21;33;CLOVIS.CE;JUAZEIRO DO NORTE;ASSAI CE
146;ASSAI TERESINA DIRCEU PI LJ 134;44;1;DIRETO.FABRICA;Teresina;ASSAI PI
147;ASSAI PICOS-PI LJ 182;44;1;DIRETO.FABRICA;Picos;ASSAI PI
148;ASSAI PARNAIBA PI LJ 186;44;1;DIRETO.FABRICA;PARNAIBA;ASSAI PI
149;ASSAI TERESINA RAUL LOPES LJ 228;44;1;DIRETO.FABRICA;Teresina;ASSAI PI
150;ASSAI CD ITAITINGA LJ 920;21;33;CLOVIS.CE;ITAITINGA;ASSAI CE
151;ASSAI TERESINA KENNEDY LJ 304;44;1;DIRETO.FABRICA;Teresina;ASSAI PI
152;ASSAI MANAUS EFIGENIO SALLES LJ 146-AM;18;59;JUVENCINA.AM;Manaus;ASSAI AM
153;ASSAI MANAUS NOVO ALEIXO LJ 122-AM;18;59;JUVENCINA.AM;Manaus;ASSAI AM
154;ASSAI BOA VISTA-RR LJ 197;18;61;KENNEDY.RR;BOA VISTA;ASSAI AM
155;ASSAI TORQUATO LJ 210-AM;18;59;JUVENCINA.AM;Manaus;ASSAI AM
156;ASSAI SAO LUIS GUAJAJARAS LJ 193;44;4;CLAUDIO.MA;Sao Luis;ASSAI MA
157;ASSAI TURU LJ 141;44;4;CLAUDIO.MA;Sao Luis;ASSAI MA
158;ASSAI IMPERATRIZ-LJ 172;44;4;CLAUDIO.MA;IMPERATRIZ;ASSAI MA
159;ASSAI BELEM PA LJ 118;4;5;MARCELO.PA;Belem;ASSAI PA
160;ASSAI ANANINDEUA LJ 135;4;5;MARCELO.PA;Ananindeua;ASSAI PA
161;ASSAI CASTANHAL LJ 169;4;5;MARCELO.PA;CASTANHAL;ASSAI PA
162;ASSAI PARAUAPEBAS LJ 187;32;5;MARCELO.PA;PARAUAPEBAS;ASSAI PA
163;ASSAI SANTAREM PA LJ 191;32;5;MARCELO.PA;SANTAREM;ASSAI PA
164;ASSAI BELEM BATISTA CAMPOS LJ 235;4;5;MARCELO.PA;Belem;ASSAI PA
